order_id,customer_id,store_id,order_timestamp,order_status,delivery_time_mins
1,1088,1,2025-01-01 08:52:51,delivered,10
2,1094,1,2025-01-01 18:01:56,delivered,11
3,1669,1,2025-01-01 19:06:42,delivered,20
4,96,1,2025-01-01 09:51:54,delivered,17
5,961,1,2025-01-01 12:38:49,delivered,16
6,786,1,2025-01-01 20:25:31,delivered,18
7,974,1,2025-01-01 10:04:14,delivered,23
8,1857,1,2025-01-01 07:11:14,delivered,21
9,879,1,2025-01-01 18:32:28,delivered,15
10,1029,1,2025-01-01 19:13:16,delivered,30
11,655,1,2025-01-01 21:31:18,delivered,31
12,2468,1,2025-01-01 23:32:39,delivered,23
13,1631,1,2025-01-01 10:01:46,delivered,28
14,1189,1,2025-01-01 10:04:15,delivered,17
15,546,1,2025-01-01 20:03:41,delivered,13
16,1358,1,2025-01-01 10:37:45,delivered,17
17,788,1,2025-01-01 10:24:40,delivered,19
18,1072,1,2025-01-01 07:57:10,delivered,10
19,1962,1,2025-01-01 20:09:32,delivered,13
20,2668,1,2025-01-01 09:08:33,delivered,14
21,1433,1,2025-01-01 20:21:18,delivered,23
22,361,1,2025-01-01 21:16:33,delivered,13
23,498,1,2025-01-01 23:59:39,delivered,26
24,2315,1,2025-01-01 08:55:01,delivered,13
25,47,1,2025-01-01 21:58:28,delivered,31
26,2953,1,2025-01-01 19:10:11,delivered,25
27,2268,1,2025-01-01 11:58:12,delivered,10
28,1391,1,2025-01-01 20:53:37,delivered,14
29,256,1,2025-01-01 20:22:48,delivered,33
30,2345,1,2025-01-01 19:15:05,delivered,10
31,2174,1,2025-01-01 21:48:16,delivered,10
32,2798,1,2025-01-01 22:01:13,delivered,20
33,954,1,2025-01-01 08:16:04,delivered,22
34,2562,1,2025-01-01 01:20:02,delivered,20
35,93,1,2025-01-01 19:53:43,delivered,12
36,2609,1,2025-01-01 21:44:16,delivered,17
37,794,1,2025-01-01 10:05:30,delivered,10
38,1366,1,2025-01-01 07:26:04,delivered,10
39,177,1,2025-01-01 09:44:50,delivered,14
40,1459,1,2025-01-01 10:25:50,delivered,16
41,2735,1,2025-01-01 20:41:37,delivered,14
42,2985,1,2025-01-01 21:02:10,delivered,16
43,198,1,2025-01-01 18:34:41,delivered,11
44,2086,1,2025-01-01 11:38:54,delivered,13
45,2995,1,2025-01-01 11:20:30,delivered,27
46,2849,1,2025-01-01 20:44:42,delivered,23
47,1560,1,2025-01-01 15:07:20,delivered,20
48,224,1,2025-01-01 22:40:12,delivered,20
49,30,1,2025-01-01 05:05:40,delivered,19
50,2494,1,2025-01-01 00:53:15,delivered,24
51,859,1,2025-01-01 17:02:56,delivered,10
52,2400,1,2025-01-01 21:12:11,delivered,25
53,2608,1,2025-01-01 17:50:01,delivered,17
54,137,1,2025-01-01 04:39:38,delivered,16
55,1692,1,2025-01-01 16:26:10,delivered,13
56,1845,1,2025-01-01 18:04:30,delivered,21
57,860,1,2025-01-01 16:12:02,delivered,16
58,648,1,2025-01-01 15:08:29,delivered,25
59,2494,1,2025-01-01 21:28:43,delivered,18
60,909,1,2025-01-01 13:58:01,delivered,19
61,2804,1,2025-01-01 20:57:38,delivered,21
62,924,1,2025-01-01 17:24:51,delivered,14
63,2595,1,2025-01-01 11:28:26,delivered,17
64,1136,1,2025-01-01 09:48:33,delivered,20
65,1642,1,2025-01-01 23:10:29,delivered,21
66,363,1,2025-01-01 13:39:50,delivered,12
67,2847,1,2025-01-01 20:59:48,delivered,19
68,2039,1,2025-01-01 21:46:38,delivered,19
69,565,1,2025-01-01 20:34:46,delivered,11
70,376,1,2025-01-01 21:54:13,delivered,22
71,740,1,2025-01-01 20:04:48,delivered,28
72,2792,1,2025-01-01 19:58:05,delivered,13
73,2264,1,2025-01-01 18:58:06,delivered,17
74,214,1,2025-01-01 09:14:39,delivered,14
75,1730,1,2025-01-01 18:06:43,delivered,24
76,1825,1,2025-01-01 11:13:30,delivered,25
77,741,1,2025-01-01 15:36:41,delivered,20
78,381,1,2025-01-01 20:55:48,delivered,16
79,2359,1,2025-01-01 22:34:56,delivered,11
80,2213,1,2025-01-01 06:33:59,delivered,34
81,1835,1,2025-01-01 18:34:46,delivered,32
82,1039,1,2025-01-01 18:31:21,delivered,15
83,1803,1,2025-01-01 10:21:48,delivered,19
84,2399,1,2025-01-01 17:38:07,delivered,15
85,1669,1,2025-01-01 17:53:18,delivered,16
86,1157,1,2025-01-01 23:42:44,delivered,25
87,797,1,2025-01-01 20:16:07,delivered,14
88,35,1,2025-01-01 16:20:05,delivered,17
89,1382,1,2025-01-01 16:27:05,delivered,19
90,2615,1,2025-01-01 15:40:18,delivered,11
91,2558,1,2025-01-01 20:12:00,delivered,12
92,918,1,2025-01-01 21:19:43,delivered,14
93,860,1,2025-01-01 01:32:34,delivered,42
94,581,1,2025-01-01 04:30:35,delivered,16
95,195,1,2025-01-01 06:30:49,delivered,13
96,571,1,2025-01-01 17:35:03,delivered,18
97,1204,1,2025-01-01 02:28:10,delivered,24
98,2411,1,2025-01-01 21:35:04,delivered,23
99,47,1,2025-01-01 13:22:53,delivered,16
100,2521,1,2025-01-01 18:55:10,delivered,18
101,2871,1,2025-01-01 11:35:59,delivered,25
102,2119,1,2025-01-01 19:04:57,delivered,16
103,1147,1,2025-01-01 11:35:08,delivered,14
104,445,1,2025-01-01 11:14:35,delivered,17
105,2337,1,2025-01-01 06:00:32,delivered,14
106,2810,1,2025-01-01 21:23:34,delivered,21
107,2583,1,2025-01-01 14:25:58,delivered,27
108,2803,1,2025-01-01 09:31:41,delivered,14
109,1355,1,2025-01-01 14:02:03,delivered,18
110,1278,1,2025-01-01 18:34:01,delivered,19
111,1995,1,2025-01-01 22:39:41,delivered,19
112,2068,1,2025-01-01 09:08:57,delivered,26
113,1638,1,2025-01-01 17:24:17,delivered,15
114,376,1,2025-01-01 23:56:53,delivered,15
115,726,1,2025-01-01 03:14:00,delivered,12
116,323,1,2025-01-01 00:01:01,delivered,12
117,1257,1,2025-01-01 18:15:52,delivered,13
118,1072,1,2025-01-01 20:29:47,delivered,21
119,1580,1,2025-01-01 18:29:24,delivered,22
120,361,1,2025-01-01 17:01:47,delivered,24
121,2124,1,2025-01-01 03:00:19,delivered,15
122,726,1,2025-01-01 01:25:27,delivered,30
123,509,1,2025-01-01 07:07:33,delivered,12
124,2794,1,2025-01-01 13:10:57,delivered,21
125,22,1,2025-01-01 08:05:14,delivered,10
126,1147,1,2025-01-01 20:51:38,delivered,19
127,547,1,2025-01-01 21:36:37,delivered,13
128,2475,1,2025-01-01 19:59:25,delivered,11
129,1012,1,2025-01-01 12:09:37,delivered,15
130,295,1,2025-01-01 07:06:09,delivered,15
131,2946,1,2025-01-01 15:30:43,delivered,15
132,1607,1,2025-01-01 18:12:13,delivered,16
133,1033,1,2025-01-01 23:25:17,delivered,16
134,1278,1,2025-01-01 16:23:18,delivered,18
135,2938,1,2025-01-01 06:59:08,delivered,31
136,2225,1,2025-01-01 18:23:41,delivered,23
137,738,1,2025-01-01 10:51:19,delivered,26
138,2634,1,2025-01-01 19:34:08,delivered,10
139,1195,1,2025-01-01 09:22:57,delivered,27
140,2112,1,2025-01-01 21:21:02,delivered,16
141,2084,1,2025-01-01 10:19:19,delivered,12
142,875,1,2025-01-01 18:51:09,delivered,13
143,1684,1,2025-01-01 15:11:53,delivered,13
144,2210,1,2025-01-01 18:49:02,delivered,14
145,1040,1,2025-01-01 19:16:55,delivered,10
146,84,1,2025-01-01 10:13:30,delivered,15
147,2605,1,2025-01-01 10:47:02,delivered,13
148,1857,1,2025-01-01 05:44:06,delivered,22
