sku_id,supplier_id,cost_price
1,6,15.3
1,3,15.1
2,7,29.9
3,16,36.28
3,4,36.45
4,2,13.44
5,1,8.17
6,12,20.01
6,2,21.24
7,13,42.13
8,8,41.4
9,13,15.0
10,12,12.71
11,8,16.69
11,15,16.63
12,1,8.58
12,15,7.91
13,10,18.87
14,10,8.63
14,14,8.18
15,10,11.36
16,4,24.14
17,2,9.05
18,9,20.32
19,9,21.82
20,11,18.54
20,3,18.13
21,8,45.02
21,15,45.56
22,9,55.05
23,6,48.47
24,13,7.16
25,15,21.69
26,2,19.22
26,7,18.7
27,13,32.71
28,17,24.26
29,11,8.33
29,15,8.93
30,11,11.12
31,18,16.08
32,8,30.3
33,14,82.46
34,7,13.2
35,4,13.64
35,8,13.43
36,8,26.06
36,4,25.92
37,18,10.98
38,1,66.19
39,16,73.69
40,2,19.46
41,4,11.24
42,9,20.69
43,18,29.53
43,9,29.2
44,8,124.72
45,10,18.85
46,1,19.98
47,7,111.27
48,12,19.98
49,10,15.51
50,2,20.0
50,10,20.81
51,15,25.74
51,17,26.15
52,14,24.22
52,5,24.06
53,7,31.68
53,17,31.67
54,13,14.05
55,7,18.58
56,16,25.0
57,11,21.24
58,18,53.91
59,8,28.88
60,5,44.19
60,10,41.34
61,9,25.65
62,16,83.28
63,8,66.22
64,1,12.78
65,12,10.72
66,7,18.79
67,14,27.82
68,9,39.28
69,10,47.19
70,9,50.42
71,13,13.7
71,4,14.78
72,4,36.95
72,8,35.29
73,12,32.19
73,13,32.93
74,4,40.43
75,11,20.32
76,6,37.9
76,7,39.38
77,15,15.76
77,16,15.68
78,11,100.12
79,12,7.18
80,13,13.73
80,17,13.93
81,6,14.48
82,2,77.63
82,14,73.95
83,8,21.92
83,9,22.52
84,1,8.82
85,9,16.07
85,15,15.73
86,13,12.1
87,8,12.25
88,8,8.51
88,13,8.55
89,10,7.6
90,7,22.97
91,7,33.21
92,7,27.89
93,5,115.74
93,17,110.55
94,1,7.75
94,5,7.68
95,11,57.19
95,15,54.65
96,3,15.59
97,11,63.27
98,12,40.92
98,17,41.69
99,14,127.08
100,6,141.17
101,9,135.49
102,8,58.37
103,17,23.67
103,13,23.86
104,5,145.99
104,14,141.53
105,11,662.35
105,3,650.2
106,10,136.98
107,6,134.11
108,16,355.0
109,14,285.75
110,6,89.68
111,3,303.87
112,4,118.4
113,17,35.81
114,8,46.53
115,2,669.42
116,9,17.55
117,18,134.84
